NDUFAF3	MT-ND1
NDUFAF3	NDUFAF6
NDUFAF5	MT-ND1
NDUFAF4	MT-ND1
TIMMDC1	MT-ND1
MT-ND1	NDUFAF6
NDUFAF5	NDUFAF6
NDUFAF4	NDUFAF6
NDUFAF4	NDUFAF5
TMEM186	NDUFB6
MT-ND2	MT-ND6
TMEM186	MT-ND2
TMEM186	COA1
MT-ND3	NDUFB6
MT-ND6	NDUFB6
MT-ND2	NDUFB6
MT-ND3	COA1
COA1	NDUFB6
MT-ND3	MT-ND2
TMEM186	MT-ND6
COA1	MT-ND6
MT-ND3	MT-ND6
TNFSF13B	TNFRSF13C
TNFRSF13C	TRAF3
TNFSF13B	BIRC3
TNFSF13B	MAP3K14
TNFRSF13C	BIRC2
TNFSF13B	TRAF3
TNFRSF13C	TRAF2
TNFSF13B	BIRC2
TNFRSF13C	MAP3K14
TNFSF13B	TRAF2
TNFRSF13C	BIRC3
TNFSF12	TNFRSF12A
TNFRSF12A	TRAF3
TNFSF12	BIRC3
TNFRSF12A	BIRC2
TNFSF12	BIRC2
TNFRSF12A	BIRC3
TNFSF12	TRAF3
TNFSF12	TRAF2
TNFRSF12A	TRAF2
TNFSF12	MAP3K14
TNFRSF12A	MAP3K14
LTBR	TNFSF14
LTBR	LTB
LTBR	LTA
BIRC3	LTA
TRAF2	LTA
MAP3K14	LTA
TRAF2	LTB
MAP3K14	LTB
MAP3K14	TNFSF14
BIRC2	LTBR
BIRC2	TNFSF14
MAP3K14	LTBR
TRAF3	LTA
TRAF3	LTB
BIRC3	LTB
BIRC2	LTB
BIRC3	LTBR
BIRC3	TNFSF14
TRAF2	TNFSF14
BIRC2	LTA
TRAF3	TNFSF14
TRAF2	LTBR
TRAF3	LTBR
TNFRSF4	TNFSF4
TNFRSF11A	TNFSF11
TNFSF11	MAP3K14
TNFRSF11A	TRAF3
TNFSF11	TRAF3
TNFSF11	TRAF2
TNFSF11	BIRC3
TNFSF11	BIRC2
TNFRSF11A	BIRC3
TNFRSF11A	TRAF2
TNFRSF11A	MAP3K14
TNFRSF11A	BIRC2
MAP3K8	TNIP2
MAP3K8	NFKB1
TNIP2	NFKB1
EIF1AX	EIF2S3
EIF1AX	EIF2S1
EIF1AX	EIF2S2
TDRKH	PIWIL1
TDRD6	PIWIL1
TDRD6	TDRKH
APOA1	ABCA1
SUFU	GLI3
MT-ND1	TMEM186
MT-ND1	MT-ND2
MT-ND1	NDUFB6
MT-ND1	COA1
MT-ND1	MT-ND3
MT-ND1	MT-ND6
GFM2	MRRF
MCCC2	MCCC1
PCCA	PCCB
